episode_id,policy_id,agent_id,metric,value,created_at
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.change_color.success.first_step,40.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.change_color.success.last_step,100.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.change_color.success.max,14.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.change_color.success.min,1.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.change_color.success.rate,0.14,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.change_color.success.updates,14.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.failure_penalty,53.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.failure_penalty.activity_rate,0.6117647,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.failure_penalty.avg,1.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.failure_penalty.first_step,6.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.failure_penalty.last_step,91.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.failure_penalty.max,53.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.failure_penalty.min,1.0,2025-07-03T11:51:27.474342
