399, "🧟", "zombie"
400, "🧟‍♂️", "man zombie"
401, "🧟‍♀️", "woman zombie"
402, "🧌", "troll"
403, "💆", "person getting massage"
404, "💆‍♂️", "man getting massage"
405, "💆‍♀️", "woman getting massage"
406, "💇", "person getting haircut"
407, "💇‍♂️", "man getting haircut"
408, "💇‍♀️", "woman getting haircut"
409, "🚶", "person walking"
410, "🚶‍♂️", "man walking"
411, "🚶‍♀️", "woman walking"
412, "🚶‍➡️", "person walking facing right"
413, "🚶‍♀️‍➡️", "woman walking facing right"
414, "🚶‍♂️‍➡️", "man walking facing right"
415, "🧍", "person standing"
416, "🧍‍♂️", "man standing"
417, "🧍‍♀️", "woman standing"
418, "🧎", "person kneeling"
419, "🧎‍♂️", "man kneeling"
420, "🧎‍♀️", "woman kneeling"
421, "🧎‍➡️", "person kneeling facing right"
422, "🧎‍♀️‍➡️", "woman kneeling facing right"
423, "🧎‍♂️‍➡️", "man kneeling facing right"
424, "🧑‍🦯", "person with white cane"
425, "🧑‍🦯‍➡️", "person with white cane facing right"
426, "👨‍🦯", "man with white cane"
427, "👨‍🦯‍➡️", "man with white cane facing right"
428, "👩‍🦯", "woman with white cane"
429, "👩‍🦯‍➡️", "woman with white cane facing right"
430, "🧑‍🦼", "person in motorized wheelchair"
431, "🧑‍🦼‍➡️", "person in motorized wheelchair facing right"
432, "👨‍🦼", "man in motorized wheelchair"
433, "👨‍🦼‍➡️", "man in motorized wheelchair facing right"
434, "👩‍🦼", "woman in motorized wheelchair"
435, "👩‍🦼‍➡️", "woman in motorized wheelchair facing right"
436, "🧑‍🦽", "person in manual wheelchair"
437, "🧑‍🦽‍➡️", "person in manual wheelchair facing right"
438, "👨‍🦽", "man in manual wheelchair"
439, "👨‍🦽‍➡️", "man in manual wheelchair facing right"
440, "👩‍🦽", "woman in manual wheelchair"
441, "👩‍🦽‍➡️", "woman in manual wheelchair facing right"
442, "🏃", "person running"
443, "🏃‍♂️", "man running"
444, "🏃‍♀️", "woman running"
445, "🏃‍➡️", "person running facing right"
446, "🏃‍♀️‍➡️", "woman running facing right"
447, "🏃‍♂️‍➡️", "man running facing right"
448, "💃", "woman dancing"
449, "🕺", "man dancing"
450, "🕴", "person in suit levitating"
451, "👯", "people with bunny ears"
452, "👯‍♂️", "men with bunny ears"
453, "👯‍♀️", "women with bunny ears"
454, "🧖", "person in steamy room"
455, "🧖‍♂️", "man in steamy room"
456, "🧖‍♀️", "woman in steamy room"
457, "🧗", "person climbing"
458, "🧗‍♂️", "man climbing"
459, "🧗‍♀️", "woman climbing"
460, "🤺", "person fencing"
461, "🏇", "horse racing"
462, "⛷", "skier"
463, "🏂", "snowboarder"
464, "🏌", "person golfing"
465, "🏌️‍♂️", "man golfing"
466, "🏌️‍♀️", "woman golfing"
467, "🏄", "person surfing"
468, "🏄‍♂️", "man surfing"
469, "🏄‍♀️", "woman surfing"
470, "🚣", "person rowing boat"
471, "🚣‍♂️", "man rowing boat"
472, "🚣‍♀️", "woman rowing boat"
473, "🏊", "person swimming"
474, "🏊‍♂️", "man swimming"
475, "🏊‍♀️", "woman swimming"
476, "⛹", "person bouncing ball"
477, "⛹️‍♂️", "man bouncing ball"
478, "⛹️‍♀️", "woman bouncing ball"
479, "🏋", "person lifting weights"
480, "🏋️‍♂️", "man lifting weights"
481, "🏋️‍♀️", "woman lifting weights"
482, "🚴", "person biking"
483, "🚴‍♂️", "man biking"
484, "🚴‍♀️", "woman biking"
485, "🚵", "person mountain biking"
486, "🚵‍♂️", "man mountain biking"
487, "🚵‍♀️", "woman mountain biking"
488, "🤸", "person cartwheeling"
489, "🤸‍♂️", "man cartwheeling"
490, "🤸‍♀️", "woman cartwheeling"
491, "🤼", "people wrestling"
492, "🤼‍♂️", "men wrestling"
493, "🤼‍♀️", "women wrestling"
494, "🤽", "person playing water polo"
495, "🤽‍♂️", "man playing water polo"
496, "🤽‍♀️", "woman playing water polo"
497, "🤾", "person playing handball"
498, "🤾‍♂️", "man playing handball"
499, "🤾‍♀️", "woman playing handball"
497, "🤾", "person playing handball"
498, "🤾‍♂️", "man playing handball"
499, "🤾‍♀️", "woman playing handball"
500, "🤹", "person juggling"
501, "🤹‍♂️", "man juggling"
502, "🤹‍♀️", "woman juggling"
503, "🧘", "person in lotus position"
504, "🧘‍♂️", "man in lotus position"
505, "🧘‍♀️", "woman in lotus position"
506, "🛀", "person taking bath"
507, "🛌", "person in bed"
508, "🧑‍🤝‍🧑", "people holding hands"
509, "👭", "women holding hands"
510, "👫", "woman and man holding hands"
511, "👬", "men holding hands"
512, "💏", "kiss"
513, "👩‍❤️‍💋‍👨", "kiss: woman, man"
514, "👨‍❤️‍💋‍👨", "kiss: man, man"
515, "👩‍❤️‍💋‍👩", "kiss: woman, woman"
516, "💑", "couple with heart"
517, "👩‍❤️‍👨", "couple with heart: woman, man"
518, "👨‍❤️‍👨", "couple with heart: man, man"
519, "👩‍❤️‍👩", "couple with heart: woman, woman"
520, "👨‍👩‍👦", "family: man, woman, boy"
521, "👨‍👩‍👧", "family: man, woman, girl"
522, "👨‍👩‍👧‍👦", "family: man, woman, girl, boy"
523, "👨‍👩‍👦‍👦", "family: man, woman, boy, boy"
524, "👨‍👩‍👧‍👧", "family: man, woman, girl, girl"
525, "👨‍👨‍👦", "family: man, man, boy"
526, "👨‍👨‍👧", "family: man, man, girl"
527, "👨‍👨‍👧‍👦", "family: man, man, girl, boy"
528, "👨‍👨‍👦‍👦", "family: man, man, boy, boy"
529, "👨‍👨‍👧‍👧", "family: man, man, girl, girl"
530, "👩‍👩‍👦", "family: woman, woman, boy"
531, "👩‍👩‍👧", "family: woman, woman, girl"
532, "👩‍👩‍👧‍👦", "family: woman, woman, girl, boy"
533, "👩‍👩‍👦‍👦", "family: woman, woman, boy, boy"
534, "👩‍👩‍👧‍👧", "family: woman, woman, girl, girl"
535, "👨‍👦", "family: man, boy"
536, "👨‍👦‍👦", "family: man, boy, boy"
537, "👨‍👧", "family: man, girl"
538, "👨‍👧‍👦", "family: man, girl, boy"
539, "👨‍👧‍👧", "family: man, girl, girl"
540, "👩‍👦", "family: woman, boy"
541, "👩‍👦‍👦", "family: woman, boy, boy"
542, "👩‍👧", "family: woman, girl"
543, "👩‍👧‍👦", "family: woman, girl, boy"
544, "👩‍👧‍👧", "family: woman, girl, girl"
545, "🗣", "speaking head"
546, "👤", "bust in silhouette"
547, "👥", "busts in silhouette"
548, "🫂", "people hugging"
549, "👪", "family"
550, "🧑‍🧑‍🧒", "family: adult, adult, child"
551, "🧑‍🧑‍🧒‍🧒", "family: adult, adult, child, child"
552, "🧑‍🧒", "family: adult, child"
553, "🧑‍🧒‍🧒", "family: adult, child, child"
554, "👣", "footprints"
555, "🫆", "fingerprint"
556, "🦰", "red hair"
557, "🦱", "curly hair"
558, "🦳", "white hair"
559, "🦲", "bald"
560, "🐵", "monkey face"
561, "🐒", "monkey"
562, "🦍", "gorilla"
563, "🦧", "orangutan"
564, "🐶", "dog face"
565, "🐕", "dog"
566, "🦮", "guide dog"
567, "🐕‍🦺", "service dog"
568, "🐩", "poodle"
569, "🐺", "wolf"
570, "🦊", "fox"
571, "🦝", "raccoon"
572, "🐱", "cat face"
573, "🐈", "cat"
574, "🐈‍⬛", "black cat"
575, "🦁", "lion"
576, "🐯", "tiger face"
577, "🐅", "tiger"
